tokens,labels
"['Im', 'Anarchismus', 'sind', 'diese', 'Sachen', 'für', 'die', 'Menschen', 'besonders', 'wichtig:', '•', 'einzelne', 'Menschen', 'sollen', 'keine', 'Macht', 'haben']","[1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 0, 4, 4, 4, 4, 4, 4]"
"['Im', 'Anarchismus', 'gibt', 'es', 'viele', 'Gruppen', 'und', 'Gemeinschaften.']","[0, 0, 0, 0, 0, 1, 2, 0]"
"['Sehr', 'oft', 'haben', 'sie', 'ihre', 'eigenen', 'Zeichen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Beim', 'Anarchismus', 'gibt', 'es', 'keine', 'großen', 'Chefs.']","[1, 1, 1, 1, 1, 2, 0]"
"['Das', 'heißt,', '\\newline', 'es', 'gibt', 'keine', 'Chefs', 'die', 'etwas', 'bestimmen.']","[0, 0, 0, 1, 1, 1, 0, 2, 2, 2]"
"['Niemand', 'hat', 'alleine', 'das', 'Sagen.']","[0, 0, 0, 0, 0]"
"['Alle', 'Menschen', 'bestimmen', 'beim', 'Anarchismus', 'mit.']","[0, 0, 0, 0, 0, 0]"
"['Beim', 'anerkennen', 'gibt', 'man', 'seine', 'Zustimmung', 'zu', 'etwas.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Angela', 'Merkel', 'wurde', 'am', '17.', 'Juli', '1954', 'in', 'Hamburg', 'geboren.']","[0, 0, 0, 1, 1, 1, 1, 2, 2, 0]"
"['Im', 'Jahr', '1990', 'ist', 'Angela', 'Merkel', 'Mitglied', 'im', 'Deutschen', 'Bundestag', 'geworden.']","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 2]"
"['Und', 'sie', 'ist', 'gleichzeitig', 'Mitglied', 'bei', 'der', 'Partei', 'CDU', 'geworden.']","[1, 1, 3, 3, 3, 1, 0, 2, 2, 3]"
"['Ihre', 'Haar-farbe', 'ist', 'braun.']","[0, 0, 0, 0]"
"['Angela', 'Merkel', 'ist', 'eine', 'Politikerin.']","[0, 0, 0, 0, 0]"
"['Fische', 'kann', 'man', 'mit', 'einer', 'Angel', 'fangen.']","[1, 1, 1, 2, 0, 2, 1]"
"['Eine', 'Angel', 'ist', 'eine', 'Schnur', 'mit', 'einem', 'haken.']","[0, 1, 1, 0, 0, 2, 0, 2]"
"['Man', 'braucht', 'auch', 'einen', 'Köder.']","[0, 0, 0, 0, 0]"
"['Der', 'kommt', 'an', 'den', 'Haken.']","[0, 0, 0, 0, 0]"
"['Damit', 'lockt', 'man', 'die', 'Fische', 'an.']","[0, 0, 0, 0, 0, 0]"
"['Es', 'gibt', 'verschiedene', 'Arten', 'zu', 'angeln.']","[0, 0, 0, 0, 0, 0]"
"['Angeln', 'heißt:', '\\newline', 'Fische', 'mit', 'einer', 'Angel-rute', 'fangen.']","[1, 1, 0, 2, 3, 0, 3, 2]"
"['Beispiel:', '\\newline', 'Der', 'Preis', 'für', 'die', 'Schuhe', 'ist', 'in', 'Ordnung.']","[0, 0, 0, 0, 1, 0, 1, 2, 2, 2]"
"['Oder:', '\\newline', 'Der', 'Preis', 'für', 'die', 'Schuhe', 'ist', 'angemessen.']","[0, 0, 0, 0, 1, 0, 1, 2, 2]"
"['Angle-zismus', 'sind', 'Wörter.']","[0, 0, 0]"
"['Die', 'Wörter', 'kommen', 'aus', 'der', 'englischen', 'Sprache.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sie', 'haben', 'die', 'gleiche', 'Bedeutung.']","[0, 0, 0, 0, 0]"
"['Genau', 'wie', 'die', 'englischen', 'Wörter.']","[0, 0, 0, 0, 0]"
"['Angle-zismus', 'ist', 'eine', 'Entlehnung.']","[0, 0, 0, 0]"
"['Wenn', 'es', 'viel', 'Angli-zismus', 'gibt', 'sagt', 'man', 'dazu', 'Denglisch.']","[1, 1, 1, 1, 1, 2, 2, 2, 2]"
"['Beim', 'Anglizismus', 'nimmt', 'man', 'englische', 'Wörter.']","[0, 0, 0, 0, 0, 0]"
"['Man', 'bringt', 'die', 'Wörter', 'dann', 'in', 'eine', 'andere', 'Sprache.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Angriff', 'in', 'der', 'Stadt', 'Las', 'Vegas', 'passiert.']","[0, 0, 0, 0, 1, 2, 2, 0]"
"['Der', 'Angriff', 'ist', 'ein', 'Massaker', 'gewesen.']","[0, 0, 0, 0, 0, 0]"
"['Am', 'Abend', 'vom', '1.', 'Oktober', 'hat', 'der', 'Angriff', 'angefangen.']","[0, 1, 0, 2, 2, 0, 0, 0, 0]"
"['Der', 'Angriff', 'ist', 'auf', 'einem', 'Country-Fest', 'passiert.']","[0, 0, 0, 0, 0, 0, 0]"
"['Stephen', 'Paddock', 'hat', 'auf', 'die', 'Menschen', 'beim', 'Fest', 'geschossen.']","[0, 0, 0, 1, 0, 1, 2, 2, 0]"
"['Stephen', 'Paddock', 'hatte', 'sehr', 'viele', 'Waffen', 'dabei.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'hatte', 'bei', 'seinem', 'Angriff', 'über', '20', 'Waffen', 'dabei.']","[1, 1, 3, 3, 3, 2, 2, 2, 3]"
"['Die', 'Waffen', 'hatte', 'er', 'in', 'seinem', 'Hotel-zimmer.']","[0, 0, 0, 0, 0, 0, 0]"
"['Im', 'Auto', 'hatte', 'er', 'auch', 'Sprengstoff.']","[0, 0, 0, 0, 0, 0]"
"['Stephen', 'Paddock', 'hat', '58', 'Menschen', 'getötet.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'er', 'hat', 'über', '500', 'Menschen', 'verletzt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Stephen', 'Paddock', 'hat', 'den', 'Angriff', 'vorher', 'geplant.']","[0, 0, 0, 0, 0, 0, 0]"
"['Vor', 'dem', 'Hotel-zimmer', 'hat', 'er', 'Über-wachungs-kameras', 'angebracht.']","[1, 0, 1, 2, 2, 2, 2]"
"['Er', 'wollte', 'beobachten,', 'ob', 'jemand', 'zu', 'seinem', 'Hotel-zimmer', 'kommt.']","[1, 1, 1, 2, 2, 3, 3, 3, 2]"
"['Stephen', 'Paddock', 'wollte', 'sehr', 'viele', 'Menschen', 'töten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Angriff', 'war', 'um', '23:20', 'Uhr', 'in', 'der', 'Nacht', 'zu', 'Ende.']","[0, 0, 0, 1, 1, 1, 2, 0, 2, 0, 0]"
"['Spezial-polizei', 'hat', 'das', 'Hotel-zimmer', 'von', 'Stephen', 'Paddock', 'aufgebrochen.']","[1, 1, 0, 0, 2, 2, 2, 1]"
"['Stephen', 'Paddock', 'ist', 'bereits', 'tot', 'gewesen.']","[0, 0, 0, 0, 0, 0]"
"['Er', 'hat', 'in', 'seinem', 'Hotel-zimmer', 'Selbst-mord', 'gemacht.']","[0, 1, 2, 2, 2, 1, 1]"
"['Die', 'IS', 'Guppe', 'sagt', 'Stephen', 'Paddock', 'gehört', 'zu', 'ihnen.']","[0, 1, 1, 1, 2, 2, 2, 2, 2]"
"['Das', 'ist', 'falsch.']","[0, 0, 0]"
"['Stephen', 'Paddock', 'hat', 'alleine', 'gehandelt.']","[0, 0, 0, 0, 0]"
"['Keiner', 'weiß', 'warum', 'Stephen', 'Paddock', 'den', 'Angriff', 'gemacht', 'hat.']","[1, 1, 2, 2, 2, 0, 2, 2, 2]"
"['Viele', 'Menschen', 'auf', 'der', 'ganzen', 'Welt', 'haben', 'Angst', 'und', 'sind', 'traurig.']","[0, 0, 1, 0, 1, 1, 2, 2, 3, 0, 3]"
"['Viele', 'Menschen', 'diskutieren', 'über', 'Waffen.']","[0, 0, 0, 0, 0]"
"['In', 'den', 'USA', 'ist', 'es', 'sehr', 'leicht', 'eine', 'Waffe', 'zu', 'kaufen.']","[1, 0, 1, 2, 2, 2, 2, 0, 3, 3, 3]"
"['Viele', 'Menschen', 'wollen', 'andere', 'Waffen-gesetze.']","[0, 0, 0, 0, 0]"
"['Die', 'Waffenlobby', 'möchte', 'keine', 'anderen', 'Gesetze.']","[0, 0, 0, 0, 0, 0]"
"['Am', '1.', 'Oktober', '2017', 'ist', 'ein', 'Angriff', 'in', 'Las', 'Vegas', 'passiert.']","[1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 0]"
"['Ein', 'Mann', 'hat', 'andere', 'Menschen', 'umgebracht', 'und', 'verletzt.']","[0, 0, 0, 0, 0, 1, 0, 2]"
"['Er', 'hat', 'auf', 'andere', 'Menschen', 'geschossen.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Mann', 'hat', 'über', '50', 'Menschen', 'ermordet.']","[0, 0, 0, 0, 0, 0, 0]"
"['Und', 'er', 'hat', 'dabei', 'über', '500', 'Menschen', 'verletzt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Im', 'Jahr', '1976', 'hat', 'Ronnie', 'Lee', 'die', 'Animal', 'Liberation', 'Front', 'gegründet.']","[1, 1, 1, 2, 2, 2, 0, 2, 2, 2, 2]"
"['Animal', 'Liberation', 'Front', 'ist', 'englisch.']","[0, 0, 0, 0, 0]"
"['Mitmachen', 'darf,', 'wer:', '•', 'Vegetarier', 'oder', 'Veganer', 'ist.']","[0, 0, 0, 0, 1, 0, 2, 0]"
"['Die', 'Gruppe', 'macht', 'verschiedene', 'Aktionen.']","[0, 0, 0, 0, 0]"
"['Die', 'Aktionen', 'sollen', 'Tieren', 'helfen.']","[0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '•', 'Die', 'Gruppe', 'befreit', 'Tiere', 'aus', 'Versuchslaboren']","[0, 0, 0, 0, 1, 1, 0, 2, 2]"
"['Zum', 'Beispiel:', '•', 'Die', 'Gruppe', 'lässt', 'die', 'Tiere', 'von', 'einer', 'Pelzfarm', 'frei.']","[0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 2, 1]"
"['Die', 'Gruppe', 'macht', 'auch', 'Dinge', 'kaputt.']","[0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '•', 'Die', 'Gruppe', 'sägt', 'Hochsitze', 'von', 'Jägern', 'um.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['', '•', 'Die', 'Gruppe', 'hat', 'eine', 'Wurstfabrik', 'angezündet.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Animal', 'Liberation', 'Front', 'ist', 'der', 'Name', 'einer', 'Gruppe.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Gruppe', 'setzt', 'sich', 'für', 'Tiere', 'ein.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Gruppe', 'will', 'nicht,', 'dass', 'Menschen', 'mit', 'Tieren', 'Versuche', 'machen.']","[0, 1, 1, 1, 2, 2, 2, 2, 2, 2]"
"['Die', 'Gruppe', 'benutzt', 'dazu', 'auch', 'Gewalt.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Ankerland', 'ist', 'ein', 'besonderes', 'Land.']","[0, 1, 1, 0, 2, 0]"
"['Wenn', 'ein', 'Anker-land', 'eine', 'Entscheidung', 'macht,', '\\newline', 'sind', 'viele', 'Nachbar-länder', 'davon', 'betroffen.']","[1, 0, 1, 0, 1, 1, 0, 2, 2, 2, 2, 2]"
"['Wegen', 'einer', 'Enstcheidung', 'von', 'einem', 'Anker-land,', '\\newline', 'passiert', 'auch', 'immer', 'im', 'Nachbar-land', 'etwas.']","[1, 0, 2, 2, 0, 2, 0, 3, 3, 3, 3, 3, 3]"
"['Anlauttabellen', 'sollen', 'beim', 'Lesen', 'und', 'Schreiben', 'helfen.']","[0, 0, 0, 1, 0, 2, 0]"
"['Die', 'Bilder', 'sind', 'zusammen', 'mit', 'den', 'Buchstaben.']","[0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Buchstabe', 'B', 'wird', 'beim', 'Wort', 'Banane', 'als', 'erstes', 'gesprochen.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Dazu', 'sagt', 'man', 'auch:', 'Anlaut.']","[0, 0, 0, 0, 0]"
"['Es', 'gib', 'Anlauttabellen-programme', 'für', 'den', 'Computer.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Buchstabe', 'oder', 'das', 'Wort', 'wird', 'von', 'einer', 'Computer-stimme', 'gesprochen.']","[0, 1, 0, 0, 2, 0, 3, 3, 3, 0]"
"['Die', 'Programme', 'haben', 'eine', 'extra', 'Tastatur.']","[0, 0, 0, 0, 0, 0]"
"['Darauf', 'sind', 'Bilder.']","[0, 0, 0]"
"['Eine', 'Anlauttabelle', 'wird', 'zum', 'Lernen', 'benutzt.']","[0, 0, 0, 0, 0, 0]"
"['Darauf', 'sind', 'Buchstaben', 'und', 'Bilder.']","[0, 0, 1, 0, 2]"
"['Damit', 'kann', 'man', 'lernen', 'wie', 'ein', 'Wort', 'gesprochen', 'und', 'geschrieben', 'wird.']","[1, 1, 1, 1, 3, 0, 3, 2, 0, 3, 3]"
"['Anna', 'Faris', 'ist', 'am', '29.', 'November', '1976', 'geboren.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Anna', 'Faris', 'ist', 'eine', 'amerikanische', 'Schauspielerin.']","[0, 0, 0, 0, 1, 2]"
"['Annalena', 'Baerbock', 'wurde', 'am', '15.', 'Dezember', '1980', 'geboren.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ihr', 'ganzer', 'Name', 'ist', 'Annalena', 'Charlotte', 'Alma', 'Baerbock.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Als', 'Kind', 'hat', 'Annalena', 'Trampolin-turnen', 'gemacht.']","[1, 1, 2, 2, 2, 2]"
"['Annalena', 'Baerbock', 'ist', 'verheiratet.']","[0, 0, 0, 0]"
"['Sie', 'leben', 'in', 'Branden-burg.']","[0, 0, 0, 0]"
"['Annalena', 'Baerbock', 'ist', 'Mitglied', 'des', 'Deutschen', 'Bundestages.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sie', 'ist', 'Mitglied', 'in', 'der', 'Partei', 'Die', 'Grünen.']","[0, 0, 0, 1, 0, 1, 2, 2]"
"['Gemeinsam', 'mit', 'Robert', 'Habeck.']","[0, 0, 0, 0]"
"['Annalena', 'Baerbock', 'ist', 'eine', 'Politikerin.']","[0, 0, 0, 0, 0]"
"['Sie', 'ist', 'in', 'der', 'Partei', 'die', 'Grünen.']","[0, 0, 1, 0, 1, 2, 2]"
"['Annalena', 'Baerbock', 'ist', 'Chefin', 'der', 'Partei', 'die', 'Grünen.']","[1, 1, 1, 1, 0, 0, 0, 2]"
"['Und', 'sie', 'war', 'Kanzler-kandidatin.']","[0, 0, 0, 0]"
"['Er', 'sagt', 'seinen', 'Namen', 'nicht.']","[0, 0, 0, 0, 0]"
"['Er', 'bleibt', 'anonym.']","[0, 0, 0]"
"['Wenn', 'er', 'einen', 'Brief', 'schreibt,', 'unterschreibt', 'er', 'nicht.']","[1, 1, 0, 1, 1, 2, 2, 2]"
"['Er', 'schreibt', 'seinen', 'Namen', 'auch', 'nicht', 'auf', 'den', 'Brief.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Dann', 'weiss', 'niemand,', 'wer', 'den', 'Brief', 'geschrieben', 'hat.']","[1, 1, 1, 2, 0, 2, 2, 2]"
"['Dafür', 'kann', 'es', 'mehrere', 'Gründe', 'geben,', '\\newline', 'etwa:', '\\newline', '', 'er', 'will', 'etwas', 'sagen,', 'hat', 'aber', 'Angst,', 'deswegen', 'Ärger', 'zu', 'bekommen.']","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 3, 2, 2, 2, 3, 0, 3, 4, 4, 4, 4]"
"['er', 'will,', 'dass', 'die', 'Leute', 'das', 'Gesagte', 'wichtig', 'nehmen,', 'nicht', 'seine', 'Person.']","[1, 1, 2, 0, 2, 0, 2, 3, 3, 3, 3, 3]"
"['Das', 'Wort', '""Anonymität""', 'kann', 'auch', 'heißen,', '', '\\newline', 'dass', 'man', 'in', 'einer', 'großen', 'Menge', 'von', 'Menschen', 'nicht', 'mehr', 'wichtig', 'ist.']","[0, 1, 1, 1, 1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 3, 3, 2, 2, 2, 2]"
"['Das', 'Wort', '""anonym""', 'ist', 'ein', 'Lehnwort', 'aus', 'dem', 'Alt-Griechischen.']","[0, 0, 0, 0, 0, 1, 2, 0, 2]"
"['anonym', '\\newline', 'bedeutet', 'namenlos.']","[0, 0, 0, 0]"
"['Anonymität', 'ist', 'das', 'dazugehörige', 'Hauptwort.']","[0, 0, 0, 0, 0]"
"['Anonymous-Gruppen', 'machen', 'Aktionen', 'im', 'Internet.']","[1, 1, 0, 2, 2]"
"['Sie', 'möchten', 'politisch', 'etwas', 'verändern.']","[1, 1, 2, 1, 1]"
"['Wenn', 'sie', 'sich', 'treffen,', 'tragen', 'sie', 'manchmal', 'Gesichts-masken.']","[1, 1, 1, 1, 2, 2, 2, 2]"
"['Sie', 'tragen', 'die', 'Gesichts-maske', 'von', 'Guy', 'Fawkes.']","[1, 1, 0, 0, 2, 2, 2]"
"['Anonymous-Gruppen', 'gibt', 'es', 'auf', 'der', 'ganzen', 'Welt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Anonymous', 'ist', 'ein', 'Internet-phänomen.']","[0, 0, 0, 0]"
"['Die', 'Anonymous-Gruppe', 'sind', 'verschiedene', 'Menschen,', '', '\\newline', 'die', 'zusammen', 'gegen', 'bestimmte', 'Sachen', 'protestieren.']","[0, 1, 1, 1, 1, 0, 0, 0, 2, 2, 3, 3, 2]"
"['Eine', 'Person', 'ist', 'anonym.']","[0, 0, 0, 0]"
"['Also', 'weiß', 'niemand:', 'Wer', 'ist', 'diese', 'Person?']","[1, 1, 1, 2, 2, 2, 2]"
"['Anorexie', 'ist', 'ein', 'Fachbegriff', 'und', 'ein', 'Kunstwort.']","[0, 0, 0, 1, 0, 0, 2]"
"['Bei', 'einer', 'Anorexie', 'hat', 'man', 'keine', 'Lust', 'etwas', 'zu', 'essen.']","[1, 0, 1, 1, 1, 1, 1, 2, 2, 2]"
"['Wenn', 'die', 'Anorexie', 'länger', 'geht,', '\\newline', 'verschwindet', 'auch', 'der', 'Hunger.']","[1, 0, 1, 1, 1, 0, 2, 2, 0, 2]"
"['Ein', 'Anrainer', 'kann', 'auch', 'ein', 'Land', 'sein.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'ist', 'ein:', '•', 'Anrainerstaat']","[0, 0, 0, 0, 0]"
"['Ein', 'Anrainer', 'ist', 'ein', 'Nachbar.']","[0, 0, 0, 0, 0]"
"['Das', 'heißt:', '\\newline', 'jemand', 'wohnt', 'neben', 'dran']","[0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Mann', 'hat', 'absichtlich', 'auf', 'die', 'Menschen', 'geschossen.']","[0, 1, 1, 2, 1, 0, 1, 1]"
"['Keiner', 'weiß', 'wer', 'der', 'Mann', 'ist.']","[1, 1, 2, 0, 2, 2]"
"['Und', 'warum', 'er', 'das', 'gemacht', 'hat.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'keiner', 'weiß', 'wo', 'der', 'Mann', 'ist.']","[0, 1, 1, 2, 0, 2, 2]"
"['Er', 'ist', 'danach', 'abgehauen.']","[0, 0, 0, 0]"
"['Die', 'Polizei', 'und', 'Experten', 'versuchen', 'heraus', 'zu', 'finden', 'wer', 'der', 'Mann', 'ist.']","[0, 1, 2, 0, 3, 3, 3, 3, 4, 0, 4, 4]"
"['Und', 'wo', 'der', 'Mann', 'sich', 'versteckt', 'hat.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Polizei', 'in', 'der', 'Türkei', 'sagt:', 'der', 'Mann', 'hat', 'Terrorismus', 'gemacht.']","[0, 1, 2, 0, 2, 1, 0, 3, 3, 3, 3]"
"['Und', 'der', 'Mann', 'hat', 'eine', 'Lang-waffe', 'zum', 'schießen', 'benutzt.']","[0, 0, 0, 0, 0, 1, 2, 2, 1]"
"['Die', 'IS', 'Gruppe', 'hat', 'gesagt:', 'wir', 'haben', 'den', 'Anschlag', 'gemacht.']","[0, 1, 1, 1, 1, 2, 2, 0, 2, 2]"
"['Und', 'der', 'Mann', 'gehört', 'zu', 'unserer', 'Gruppe.']","[0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Mann', 'dem', 'der', 'Nacht-club', 'gehört', 'hat', 'gesagt:', 'der', 'Geheim-dienst', 'von', 'den', 'Vereinigte', 'Staaten', 'hat', 'ihn', 'gewarnt.']","[0, 2, 2, 0, 2, 2, 1, 1, 0, 4, 4, 0, 4, 4, 3, 3, 3]"
"['Der', 'Geheim-dienst', 'hat', 'gesagt', 'es', 'gibt', 'einen', 'Anschlag', 'auf', 'den', 'Nacht-club.']","[0, 1, 1, 1, 2, 2, 2, 3, 3, 0, 3]"
"['Der', 'Geheim-dienst', 'von', 'Amerika', 'sagt', 'das', 'stimmt', 'nicht.']","[0, 2, 2, 2, 1, 3, 3, 3]"
"['Angela', 'Merkel', 'hat', 'gesagt,', '\\newline', 'dass', 'der', 'Anschlag', 'böse', 'und', 'schrecklich', 'gewesen', 'ist.']","[1, 1, 1, 1, 0, 3, 0, 3, 2, 0, 3, 3, 3]"
"['Sie', 'denkt', 'an', 'die', 'gestorbenen', 'Menschen.']","[0, 0, 0, 0, 0, 0]"
"['In', 'der', 'Türkei', 'hat', 'es', 'schon', 'viele', 'Anschläge', 'gegeben.']","[1, 1, 0, 2, 2, 2, 2, 2, 2]"
"['Im', 'Jahr', '2016', 'hat', 'es', '20', 'Anschläge', 'gegeben.']","[1, 1, 1, 2, 2, 2, 2, 2]"
"['Der', 'Anschlag', 'in', 'Istanbul', 'ist', 'am', '1.', 'Januar', '2017', 'gewesen.']","[0, 0, 1, 1, 0, 2, 2, 2, 2, 0]"
"['Dabei', 'sind', '37', 'Menschen', 'getötet.']","[0, 0, 0, 0, 0]"
"['Und', 'sehr', 'viele', 'Menschen', 'sind', 'verletzt.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Mann', 'hat', 'mit', 'einer', 'Waffe', 'auf', 'viele', 'Menschen', 'geschossen.']","[0, 1, 1, 2, 0, 2, 3, 3, 3, 1]"
"['Gemacht', 'hat', 'das', 'der', 'Mann', 'in', 'einem', 'Nacht-club.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Viele', 'Menschen', 'haben', 'dort', 'gefeiert.']","[0, 0, 0, 0, 0]"
"['Im', 'Nacht-club', 'haben', 'über', '700', 'Menschen', 'gefeiert.']","[1, 1, 0, 2, 2, 2, 0]"
"['Der', 'Anschlag', 'ist', 'in', 'der', 'Stadt', 'Istanbul', 'gewesen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'ist', 'in', 'der', 'Türkei.']","[0, 0, 0, 0, 0]"
"['Am', '10.', 'Dezember', '2016', 'hat', 'es', 'diese', '2', 'Anschläge', 'gegeben.']","[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]"
"['Der', 'Anschlag', 'in', 'Istanbul', 'ist', 'am', '10.', 'Dezember', '2016', 'gewesen.']","[0, 0, 1, 1, 0, 2, 2, 2, 2, 0]"
"['Dabei', 'sind', '44', 'Menschen', 'getötet.']","[0, 0, 0, 0, 0]"
"['Und', 'viele', 'Menschen', 'sind', 'verletzt.']","[0, 0, 0, 0, 0]"
"['Jemand', 'hat', 'ein', 'Auto', 'in', 'die', 'Luft', 'gesprengt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Und', 'ein', 'Mann', 'hat', 'sich', 'in', 'die', 'Luft', 'gesprengt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Täter', 'haben', 'das', 'absichtlich', 'gemacht.']","[0, 0, 0, 0, 0, 0]"
"['Sie', 'haben', 'viele', 'Menschen', 'töten', 'und', 'verletzen', 'wollen.']","[0, 0, 0, 0, 1, 0, 2, 0]"
"['Die', 'Täter', 'sind', 'dabei', 'selbst', 'gestorben.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Anschlag', 'ist', 'in', 'der', 'Stadt', 'Istanbul', 'gewesen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Mann', 'der', 'sich', 'in', 'die', 'Luft', 'gesprengt', 'hat,', '\\newline', 'ist', 'ein', 'Selbst-mord-Attentäter.']","[0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 1, 0, 1]"
"['Sein', 'Name', 'ist', 'Nabil', 'Fadli.']","[0, 0, 0, 0, 0]"
"['Er', 'hat', 'sich', 'an', 'einem', 'Platz', 'mit', 'vielen', 'Menschen', 'in', 'die', 'Luft', 'gesprengt.']","[0, 0, 0, 1, 1, 0, 2, 2, 2, 1, 1, 1, 1]"
"['Nabil', 'Fadli', '', 'hat', 'sich', 'zu', 'den', 'anderen', 'Menschen', 'gestellt', 'und', 'dann', 'die', 'Bombe', 'gezündet,', '\\newline', 'Er', 'ist', 'dabei', 'selbst', 'gestorben.']","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 2, 2, 0, 3, 3, 3, 3, 3]"
"['Der', 'Platz', 'heißt', 'Sultan-Ahmed-Platz', 'und', 'ist', 'sehr', 'bekannt.']","[0, 0, 1, 1, 0, 2, 2, 2]"
"['Sehr', 'viele', 'Touristen', 'besuchen', 'den', 'Platz.']","[0, 0, 0, 0, 0, 0]"
"['Nabil', 'Fadli', 'ist', '28', 'Jahre', 'alt', 'gewesen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'gehört', 'zur', 'IS', 'Gruppe.']","[0, 0, 0, 0, 0]"
"['Nach', 'dem', 'Anschlag', 'hat', 'es', 'eine', 'Nachrichten-sperre', 'gegeben.']","[1, 0, 1, 2, 2, 0, 2, 2]"
"['Das', 'heißt,', '', '\\newline', 'Informationen', 'weiter', 'zu', 'geben', 'ist', 'verboten.']","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2]"
"['10', 'Menschen', 'sind', 'bei', 'dem', 'Anschlag', 'getötet', 'worden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['8', 'Menschen', 'kommen', 'aus', 'Deutschland', 'und', 'eine', 'Person', 'kommt', 'aus', 'Peru.']","[1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2]"
"['Der', 'Anschlag', 'in', 'Istanbul', 'ist', 'am', '12.', 'Januar', '2016', 'gewesen.']","[0, 0, 1, 1, 0, 2, 2, 2, 2, 0]"
"['Dabei', 'sind', '10', 'Menschen', 'getötet', 'worden.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'viele', 'Menschen', 'sind', 'verletzt', 'worden.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Mann', 'hat', 'sich', 'auf', 'einem', 'Platz', 'mit', 'vielen', 'Menschen', 'in', 'die', 'Luft', 'gesprengt.']","[0, 0, 0, 0, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2]"
"['Das', 'hat', 'der', 'Täter', 'absichtlich', 'gemacht.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Täter', 'ist', 'dabei', 'selbst', 'gestorben.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Anschlag', 'ist', 'in', 'der', 'Stadt', 'Istanbul', 'gewesen.']","[0, 0, 0, 1, 0, 2, 2, 0]"
"['Das', 'ist', 'in', 'der', 'Türkei.']","[0, 0, 0, 0, 0]"
"['Bei', 'dem', 'Attentat', 'wurden', '12', 'Menschen', 'getötet.']","[0, 0, 0, 0, 0, 0, 0]"
"['Und', '11', 'Menschen', 'wurden', 'verletzt.']","[0, 0, 0, 0, 0]"
"['Es', 'war', 'ein', 'Terror', 'Anschlag.']","[0, 0, 0, 0, 0]"
